sample_id	Population	Population Description	Gender	cram_path	crai_path	high_confidence_vcf_path	high_confidence_bed_path	autosomal_high_confidence_bp
HG01993	PEL	Peruvian in Lima, Peru	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01993/analysis/HG01993.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01993/analysis/HG01993.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01993/HG01993.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01993/HG01993.dip.bed.gz	2654144793
HG02293	PEL	Peruvian in Lima, Peru	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02293/analysis/HG02293.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02293/analysis/HG02293.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02293/HG02293.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02293/HG02293.dip.bed.gz	2654024806
HG02004	PEL	Peruvian in Lima, Peru	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02004/analysis/HG02004.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02004/analysis/HG02004.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02004/HG02004.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02004/HG02004.dip.bed.gz	2653424237
HG01975	PEL	Peruvian in Lima, Peru	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01975/analysis/HG01975.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01975/analysis/HG01975.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01975/HG01975.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01975/HG01975.dip.bed.gz	2653336509
HG01940	PEL	Peruvian in Lima, Peru	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01940/analysis/HG01940.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01940/analysis/HG01940.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01940/HG01940.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01940/HG01940.dip.bed.gz	2652885036
HG02273	PEL	Peruvian in Lima, Peru	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02273/analysis/HG02273.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02273/analysis/HG02273.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02273/HG02273.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02273/HG02273.dip.bed.gz	2652881445
HG01081	PUR	Puerto Rican in Puerto Rico	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01081/analysis/HG01081.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01081/analysis/HG01081.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01081/HG01081.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01081/HG01081.dip.bed.gz	2652566225
HG00408	CHS	Southern Han Chinese, China	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00408/analysis/HG00408.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00408/analysis/HG00408.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00408/HG00408.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG00408/HG00408.dip.bed.gz	2652539958
HG02451	ACB	African Caribbean in Barbados	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02451/analysis/HG02451.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02451/analysis/HG02451.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02451/HG02451.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02451/HG02451.dip.bed.gz	2652507434
HG03804	BEB	Bengali in Bangladesh	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03804/analysis/HG03804.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03804/analysis/HG03804.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03804/HG03804.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03804/HG03804.dip.bed.gz	2651599028
