sample_id	Population	Population Description	Gender	cram_path	crai_path	high_confidence_vcf_path	high_confidence_bed_path	autosomal_high_confidence_bp
HG02300	PEL	Peruvian in Lima, Peru	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02300/analysis/HG02300.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02300/analysis/HG02300.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02300/HG02300.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02300/HG02300.dip.bed.gz	2651511080
HG00597	CHS	Southern Han Chinese, China	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00597/analysis/HG00597.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00597/analysis/HG00597.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00597/HG00597.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG00597/HG00597.dip.bed.gz	2651224954
HG03239	PJL	Punjabi in Lahore,Pakistan	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03239/analysis/HG03239.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03239/analysis/HG03239.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03239/HG03239.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03239/HG03239.dip.bed.gz	2651189129
HG00544	CHS	Southern Han Chinese, China	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00544/analysis/HG00544.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00544/analysis/HG00544.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00544/HG00544.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG00544/HG00544.dip.bed.gz	2651050528
HG03927	BEB	Bengali in Bangladesh	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03927/analysis/HG03927.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03927/analysis/HG03927.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03927/HG03927.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03927/HG03927.dip.bed.gz	2650899615
HG01960	ACB	African Caribbean in Barbados	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01960/analysis/HG01960.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01960/analysis/HG01960.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01960/HG01960.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01960/HG01960.dip.bed.gz	2650859349
HG01346	CLM	Colombian in Medellin, Colombia	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01346/analysis/HG01346.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01346/analysis/HG01346.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01346/HG01346.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01346/HG01346.dip.bed.gz	2650767858
HG03816	BEB	Bengali in Bangladesh	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03816/analysis/HG03816.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03816/analysis/HG03816.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03816/HG03816.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03816/HG03816.dip.bed.gz	2650699446
HG01150	CLM	Colombian in Medellin, Colombia	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01150/analysis/HG01150.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01150/analysis/HG01150.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01150/HG01150.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01150/HG01150.dip.bed.gz	2650118113
HG03669	PJL	Punjabi in Lahore,Pakistan	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03669/analysis/HG03669.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03669/analysis/HG03669.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03669/HG03669.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03669/HG03669.dip.bed.gz	2650100763
HG02615	GWD	Gambian in Western Division, The Gambia	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02615/analysis/HG02615.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02615/analysis/HG02615.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02615/HG02615.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02615/HG02615.dip.bed.gz	2649864209
HG02523	KHV	Kinh in Ho Chi Minh City, Vietnam	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02523/analysis/HG02523.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02523/analysis/HG02523.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02523/HG02523.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02523/HG02523.dip.bed.gz	2649830537
HG03831	BEB	Bengali in Bangladesh	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03831/analysis/HG03831.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03831/analysis/HG03831.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03831/HG03831.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03831/HG03831.dip.bed.gz	2649606670
HG00423	CHS	Southern Han Chinese, China	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00423/analysis/HG00423.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00423/analysis/HG00423.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00423/HG00423.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG00423/HG00423.dip.bed.gz	2649077149
HG02841	GWD	Gambian in Western Division, The Gambia	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02841/analysis/HG02841.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02841/analysis/HG02841.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02841/HG02841.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02841/HG02841.dip.bed.gz	2648972081
HG01969	PEL	Peruvian in Lima, Peru	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01969/analysis/HG01969.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01969/analysis/HG01969.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01969/HG01969.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01969/HG01969.dip.bed.gz	2648948067
HG00558	CHS	Southern Han Chinese, China	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00558/analysis/HG00558.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00558/analysis/HG00558.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00558/HG00558.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG00558/HG00558.dip.bed.gz	2648685733
HG01884	ACB	African Caribbean in Barbados	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01884/analysis/HG01884.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01884/analysis/HG01884.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01884/HG01884.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01884/HG01884.dip.bed.gz	2648655727
HG01496	CLM	Colombian in Medellin, Colombia	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01496/analysis/HG01496.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01496/analysis/HG01496.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01496/HG01496.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01496/HG01496.dip.bed.gz	2648190493
HG01981	PEL	Peruvian in Lima, Peru	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01981/analysis/HG01981.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01981/analysis/HG01981.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01981/HG01981.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01981/HG01981.dip.bed.gz	2648083690
HG00639	PUR	Puerto Rican in Puerto Rico	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00639/analysis/HG00639.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00639/analysis/HG00639.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00639/HG00639.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG00639/HG00639.dip.bed.gz	2647532477
HG03041	GWD	Gambian in Western Division, The Gambia	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03041/analysis/HG03041.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03041/analysis/HG03041.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03041/HG03041.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03041/HG03041.dip.bed.gz	2647320630
HG02280	ACB	African Caribbean in Barbados	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02280/analysis/HG02280.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02280/analysis/HG02280.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02280/HG02280.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02280/HG02280.dip.bed.gz	2647076475
HG04184	BEB	Bengali in Bangladesh	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04184/analysis/HG04184.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04184/analysis/HG04184.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG04184/HG04184.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG04184/HG04184.dip.bed.gz	2646777832
HG03704	PJL	Punjabi in Lahore,Pakistan	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03704/analysis/HG03704.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03704/analysis/HG03704.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03704/HG03704.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03704/HG03704.dip.bed.gz	2646645990
HG03834	BEB	Bengali in Bangladesh	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03834/analysis/HG03834.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03834/analysis/HG03834.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03834/HG03834.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03834/HG03834.dip.bed.gz	2646573065
HG02809	GWD	Gambian in Western Division, The Gambia	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02809/analysis/HG02809.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02809/analysis/HG02809.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02809/HG02809.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02809/HG02809.dip.bed.gz	2646270807
HG00733	PUR	Puerto Rican in Puerto Rico	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00733/analysis/HG00733.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00733/analysis/HG00733.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00733/HG00733.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG00733/HG00733.dip.bed.gz	2646040384
HG02148	PEL	Peruvian in Lima, Peru	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02148/analysis/HG02148.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02148/analysis/HG02148.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02148/HG02148.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG02148/HG02148.dip.bed.gz	2645685447
HG01361	CLM	Colombian in Medellin, Colombia	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01361/analysis/HG01361.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01361/analysis/HG01361.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01361/HG01361.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG01361/HG01361.dip.bed.gz	2645598560
HG02080	KHV	Kinh in Ho Chi Minh City, Vietnam	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02080/analysis/HG02080.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02080/analysis/HG02080.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02080/HG02080.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG02080/HG02080.dip.bed.gz	2645347309
